stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening J:\Sudoku\Debug\allegro5.cfg r
system   I             system.c:242  al_install_system                [   0.00000] Allegro version: 5.1.13 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00092] Also searching J:\Sudoku\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00465] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00469] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.07017] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.17951] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.18067] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.18070] al_display=027398C0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.18073] al_display->vt=005453C8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.18478] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.18484] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18488] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18490] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18493] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18495] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18499] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18501] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18504] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18506] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18509] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18511] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18515] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18517] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18520] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18522] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18525] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18527] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18531] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18533] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18536] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18538] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18541] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18543] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18551] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18553] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18557] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18559] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18562] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18564] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18567] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18569] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18572] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18575] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18578] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18580] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18583] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18585] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18588] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18591] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18594] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18597] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18600] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18602] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18605] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18607] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18610] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18613] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18616] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18618] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18621] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18623] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18626] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18629] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18632] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18634] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18637] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18639] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18643] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18645] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18648] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18650] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18653] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18655] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18659] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18661] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18664] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18666] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18669] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18671] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18674] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18677] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18680] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18682] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18685] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18687] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18690] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18696] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18698] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18701] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18703] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18706] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18708] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18711] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18714] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18717] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18719] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18722] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18724] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18728] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18730] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18733] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18735] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18738] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18740] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18743] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18746] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18749] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18751] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18754] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18756] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18759] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18761] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18765] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18767] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18770] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18772] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18775] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18777] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18780] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18783] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18786] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18788] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18791] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18796] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18799] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18802] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18804] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18807] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18809] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18813] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18815] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18818] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18820] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18823] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.18825] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18828] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18831] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18834] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.18836] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18839] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.18841] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18844] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.18846] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18850] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.18852] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18855] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.18857] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18860] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.18862] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18865] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.18868] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18871] Score is : 712
